model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,ensemble_size,num_hidden_layers,units,pickle_file
de,dropw2,ei,20,500,3,-1,-0.999995055,500,1206.353,8601.636,7,5,50,de_ei_dropw2_L5_n50_es7_seed3.pkl
de,dropw2,ei,20,500,8,-1,-0.999987076,500,1251.944,8761.264,7,5,50,de_ei_dropw2_L5_n50_es7_seed8.pkl
de,dropw2,ei,20,500,13,-1,-0.999957548,500,1383.477,8759.327,7,5,50,de_ei_dropw2_L5_n50_es7_seed13.pkl
de,dropw2,ei,20,500,4,-1,-0.999998761,500,1093.605,9061.353,7,5,50,de_ei_dropw2_L5_n50_es7_seed4.pkl
de,dropw2,ei,20,500,10,-1,-0.999993135,500,1280.928,9049.875,7,5,50,de_ei_dropw2_L5_n50_es7_seed10.pkl
de,dropw2,ei,20,500,15,-1,-0.999992874,500,1304.212,9030.492,7,5,50,de_ei_dropw2_L5_n50_es7_seed15.pkl
de,dropw2,ei,20,500,14,-1,-0.999983379,500,1298.229,9056.166,7,5,50,de_ei_dropw2_L5_n50_es7_seed14.pkl
de,dropw2,ei,20,500,11,-1,-0.999998701,500,1342.69,9092.526,7,5,50,de_ei_dropw2_L5_n50_es7_seed11.pkl
de,dropw2,ei,20,500,0,-1,-0.999999537,500,1421.049,9030.716,7,5,50,de_ei_dropw2_L5_n50_es7_seed0.pkl
de,dropw2,ei,20,500,1,-1,-0.999951201,500,1257.231,9254.836,7,5,50,de_ei_dropw2_L5_n50_es7_seed1.pkl
de,dropw2,ei,20,500,5,-1,-0.936245325,500,1254.235,9269.212,7,5,50,de_ei_dropw2_L5_n50_es7_seed5.pkl
de,dropw2,ei,20,500,9,-1,-0.999976033,500,1425.03,9165.235,7,5,50,de_ei_dropw2_L5_n50_es7_seed9.pkl
de,dropw2,ei,20,500,12,-1,-0.999383731,500,1400.552,9220.912,7,5,50,de_ei_dropw2_L5_n50_es7_seed12.pkl
