model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,num_hidden_layers,units,reg_weight,maxi_rate,lr,pickle_file
new_der_log,eggho2,ei,20,500,1,-959.6407,-959.6181086,16,16.405,42.829,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed1.pkl
new_der_log,eggho2,ei,20,500,5,-959.6407,-958.8195843,17,18.519,44.453,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed5.pkl
new_der_log,eggho2,ei,20,500,6,-959.6407,-959.0970382,15,19.471,48.839,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed6.pkl
new_der_log,eggho2,ei,20,500,9,-959.6407,-958.9427504,6,6.206,26.002,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed9.pkl
new_der_log,goldstein2,ei,20,500,0,-3.12913,-3.127110443,6,8.8,22.653,4,100,0.001,0.01,0.001,new_der_log_ei_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed0.pkl
new_der_log,goldstein2,ei,20,500,5,-3.12913,-3.12844927,31,38.149,94.206,4,100,0.001,0.01,0.001,new_der_log_ei_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed5.pkl
new_der_log,goldstein2,ei,20,500,1,-3.12913,-3.126743599,48,66.038,163.121,4,100,0.001,0.01,0.001,new_der_log_ei_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed1.pkl
new_der_log,goldstein2,ts,20,500,0,-3.12913,-3.126009084,15,1.754,65.625,4,100,0.001,0.01,0.001,new_der_log_ts_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed0.pkl
new_der_log,goldstein2,ei,20,500,8,-3.12913,-3.126659615,25,28.222,82.021,4,100,0.001,0.01,0.001,new_der_log_ei_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed8.pkl
new_der_log,goldstein2,ts,20,500,2,-3.12913,-3.127370003,17,1.407,73.16,4,100,0.001,0.01,0.001,new_der_log_ts_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed2.pkl
new_der_log,goldstein2,ts,20,500,4,-3.12913,-3.126605294,12,1.657,61.532,4,100,0.001,0.01,0.001,new_der_log_ts_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed4.pkl
new_der_log,goldstein2,ei,20,500,6,-3.12913,-3.127879404,51,60.815,170.507,4,100,0.001,0.01,0.001,new_der_log_ei_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed6.pkl
new_der_log,goldstein2,ts,20,500,7,-3.12913,-3.128400118,14,1.219,79.931,4,100,0.001,0.01,0.001,new_der_log_ts_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed7.pkl
new_der_log,goldstein2,ts,20,500,3,-3.12913,-3.128747087,31,2.161,182.855,4,100,0.001,0.01,0.001,new_der_log_ts_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed3.pkl
new_der_log,goldstein2,ei,20,500,2,-3.12913,-3.126734282,73,101.368,303.536,4,100,0.001,0.01,0.001,new_der_log_ei_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed2.pkl
new_der_log,goldstein2,ts,20,500,5,-3.12913,-3.128653843,41,2.654,283.334,4,100,0.001,0.01,0.001,new_der_log_ts_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed5.pkl
new_der_log,goldstein2,ts,20,500,1,-3.12913,-3.126538845,49,3.631,376.859,4,100,0.001,0.01,0.001,new_der_log_ts_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed1.pkl
new_der_log,goldstein2,ei,20,500,4,-3.12913,-3.12766185,99,167.324,462.071,4,100,0.001,0.01,0.001,new_der_log_ei_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed4.pkl
new_der_log,goldstein2,ts,20,500,9,-3.12913,-3.128627771,67,4.427,633.125,4,100,0.001,0.01,0.001,new_der_log_ts_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed9.pkl
new_der_log,goldstein2,ts,20,500,8,-3.12913,-3.128817456,71,4.633,766.333,4,100,0.001,0.01,0.001,new_der_log_ts_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed8.pkl
new_der_log,goldstein2,ts,20,500,6,-3.12913,-3.127647661,79,4.974,844.807,4,100,0.001,0.01,0.001,new_der_log_ts_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed6.pkl
new_der_log,goldstein2,ei,20,500,9,-3.12913,-3.12426326,500,788.915,6784.185,4,100,0.001,0.01,0.001,new_der_log_ei_goldstein2_L4_n100_rw1e3_m1e2_lr1e3_seed9.pkl
new_der_log,hartmann3,ts,30,500,7,-3.86278,-3.86047942,33,3.072,263.651,4,100,0.001,0.01,0.001,new_der_log_ts_hartmann3_L4_n100_rw1e3_m1e2_lr1e3_seed7.pkl
new_der_log,hartmann3,ei,30,500,0,-3.86278,-3.86088725,144,310.851,917.121,4,100,0.001,0.01,0.001,new_der_log_ei_hartmann3_L4_n100_rw1e3_m1e2_lr1e3_seed0.pkl
new_der_log,hartmann3,ts,30,500,0,-3.86278,-3.8624477,91,7.258,1207.794,4,100,0.001,0.01,0.001,new_der_log_ts_hartmann3_L4_n100_rw1e3_m1e2_lr1e3_seed0.pkl
