model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,ensemble_size,num_hidden_layers,units,e_num_hidden_layers,e_units,init_buffer_iters,lr,pickle_file
deup,noisy_shekel4,ts,40,50,1,-10.5363,-7.417082925852162,50,1715.312,30997.783,7,5,50,5,128,2,0.001,deup_ts_noisy_shekel4_L5_n50_eL5_en128_lr1e3_es7_noisy__seed1.pkl
deup,noisy_shekel4,ts,40,50,4,-10.5363,-4.290680495660851,50,1813.442,31179.336,7,5,50,5,128,2,0.001,deup_ts_noisy_shekel4_L5_n50_eL5_en128_lr1e3_es7_noisy__seed4.pkl
deup,noisy_shekel4,ts,40,50,0,-10.5363,-7.872895648661098,50,1740.625,31359.614,7,5,50,5,128,2,0.001,deup_ts_noisy_shekel4_L5_n50_eL5_en128_lr1e3_es7_noisy__seed0.pkl
deup,noisy_shekel4,ts,40,50,7,-10.5363,-8.856567207944948,50,1807.3,31392.269,7,5,50,5,128,2,0.001,deup_ts_noisy_shekel4_L5_n50_eL5_en128_lr1e3_es7_noisy__seed7.pkl
deup,noisy_shekel4,ts,40,50,2,-10.5363,-5.834491050291054,50,1729.997,31483.924,7,5,50,5,128,2,0.001,deup_ts_noisy_shekel4_L5_n50_eL5_en128_lr1e3_es7_noisy__seed2.pkl
deup,noisy_shekel4,ts,40,50,9,-10.5363,-5.389341469288201,50,1760.076,31460.453,7,5,50,5,128,2,0.001,deup_ts_noisy_shekel4_L5_n50_eL5_en128_lr1e3_es7_noisy__seed9.pkl
deup,noisy_shekel4,ts,40,50,5,-10.5363,-5.2474671966554745,50,1800.505,31580.345,7,5,50,5,128,2,0.001,deup_ts_noisy_shekel4_L5_n50_eL5_en128_lr1e3_es7_noisy__seed5.pkl
deup,noisy_shekel4,ts,40,50,8,-10.5363,-6.404879205128782,50,1721.769,31659.461,7,5,50,5,128,2,0.001,deup_ts_noisy_shekel4_L5_n50_eL5_en128_lr1e3_es7_noisy__seed8.pkl
deup,noisy_shekel4,ts,40,50,6,-10.5363,-4.203717968242166,50,1820.621,31691.154,7,5,50,5,128,2,0.001,deup_ts_noisy_shekel4_L5_n50_eL5_en128_lr1e3_es7_noisy__seed6.pkl
deup,noisy_shekel4,ts,40,50,3,-10.5363,-8.618660609548668,50,1722.321,32511.602,7,5,50,5,128,2,0.001,deup_ts_noisy_shekel4_L5_n50_eL5_en128_lr1e3_es7_noisy__seed3.pkl
deup,noisy_hartmann6,ts,60,50,3,-3.32237,-3.644266666934356,50,2175.263,33007.424,7,5,50,5,128,2,0.001,deup_ts_noisy_hartmann6_L5_n50_eL5_en128_lr1e3_es7_noisy__seed3.pkl
deup,noisy_hartmann6,ts,60,50,2,-3.32237,-3.706907398476891,50,2392.039,33214.119,7,5,50,5,128,2,0.001,deup_ts_noisy_hartmann6_L5_n50_eL5_en128_lr1e3_es7_noisy__seed2.pkl
deup,noisy_hartmann6,ts,60,50,4,-3.32237,-3.675261968677823,50,2376.828,33682.517,7,5,50,5,128,2,0.001,deup_ts_noisy_hartmann6_L5_n50_eL5_en128_lr1e3_es7_noisy__seed4.pkl
deup,noisy_hartmann6,ts,60,50,0,-3.32237,-3.574246030828818,50,2144.985,33958.655,7,5,50,5,128,2,0.001,deup_ts_noisy_hartmann6_L5_n50_eL5_en128_lr1e3_es7_noisy__seed0.pkl
deup,noisy_hartmann6,ts,60,50,5,-3.32237,-3.5924500136079107,50,2224.756,33974.233,7,5,50,5,128,2,0.001,deup_ts_noisy_hartmann6_L5_n50_eL5_en128_lr1e3_es7_noisy__seed5.pkl
deup,noisy_hartmann6,ts,60,50,1,-3.32237,-3.5897722296101047,50,2152.645,34789.047,7,5,50,5,128,2,0.001,deup_ts_noisy_hartmann6_L5_n50_eL5_en128_lr1e3_es7_noisy__seed1.pkl
deup,noisy_hartmann6,ts,60,50,6,-3.32237,-3.6612200455235153,50,1866.723,25060.337,7,5,50,5,128,2,0.001,deup_ts_noisy_hartmann6_L5_n50_eL5_en128_lr1e3_es7_noisy__seed6.pkl
deup,noisy_hartmann6,ts,60,50,7,-3.32237,-3.748773551926984,50,1902.783,25584.09,7,5,50,5,128,2,0.001,deup_ts_noisy_hartmann6_L5_n50_eL5_en128_lr1e3_es7_noisy__seed7.pkl
deup,noisy_hartmann6,ts,60,50,8,-3.32237,-3.65049127262898,50,1864.297,25773.85,7,5,50,5,128,2,0.001,deup_ts_noisy_hartmann6_L5_n50_eL5_en128_lr1e3_es7_noisy__seed8.pkl
deup,noisy_hartmann6,ts,60,50,9,-3.32237,-3.69199161929466,50,1902.324,25852.142,7,5,50,5,128,2,0.001,deup_ts_noisy_hartmann6_L5_n50_eL5_en128_lr1e3_es7_noisy__seed9.pkl
