model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,pickle_file
gpr,noisy_shekel4,ts,40,50,7,-10.5363,-8.547736351,50,136.888,107.542,gpr_ts_noisy_shekel4__noisy__seed7.pkl
gpr,noisy_shekel4,ts,40,50,8,-10.5363,-7.752758912,50,138.118,107.489,gpr_ts_noisy_shekel4__noisy__seed8.pkl
gpr,noisy_shekel4,ts,40,50,1,-10.5363,-7.093453132,50,142.837,103.869,gpr_ts_noisy_shekel4__noisy__seed1.pkl
gpr,noisy_shekel4,ts,40,50,2,-10.5363,-4.576152959,50,142.488,105.121,gpr_ts_noisy_shekel4__noisy__seed2.pkl
gpr,noisy_shekel4,ts,40,50,9,-10.5363,-4.889969456,50,138.604,109.239,gpr_ts_noisy_shekel4__noisy__seed9.pkl
gpr,noisy_shekel4,ts,40,50,4,-10.5363,-3.806851105,50,138.16,110.051,gpr_ts_noisy_shekel4__noisy__seed4.pkl
gpr,noisy_shekel4,ts,40,50,3,-10.5363,-3.658710573,50,142.441,106.244,gpr_ts_noisy_shekel4__noisy__seed3.pkl
gpr,noisy_shekel4,ts,40,50,0,-10.5363,-3.347597709,50,138.792,109.96,gpr_ts_noisy_shekel4__noisy__seed0.pkl
gpr,noisy_shekel4,ts,40,50,5,-10.5363,-2.81956914,50,141.666,108.591,gpr_ts_noisy_shekel4__noisy__seed5.pkl
gpr,noisy_shekel4,ts,40,50,6,-10.5363,-3.802780753,50,134.182,116.059,gpr_ts_noisy_shekel4__noisy__seed6.pkl
gpr,noisy_hartmann6,ts,60,50,1,-3.32237,-3.503831685,50,321.508,103.138,gpr_ts_noisy_hartmann6__noisy__seed1.pkl
gpr,noisy_hartmann6,ts,60,50,2,-3.32237,-3.627562107,50,332.32,98.452,gpr_ts_noisy_hartmann6__noisy__seed2.pkl
gpr,noisy_hartmann6,ts,60,50,4,-3.32237,-3.43677021,50,324.187,106.692,gpr_ts_noisy_hartmann6__noisy__seed4.pkl
gpr,noisy_hartmann6,ts,60,50,5,-3.32237,-3.676007459,50,328.158,103.167,gpr_ts_noisy_hartmann6__noisy__seed5.pkl
gpr,noisy_hartmann6,ts,60,50,0,-3.32237,-3.531881319,50,322.062,109.527,gpr_ts_noisy_hartmann6__noisy__seed0.pkl
gpr,noisy_hartmann6,ts,60,50,3,-3.32237,-3.419441775,50,325.022,107.465,gpr_ts_noisy_hartmann6__noisy__seed3.pkl
gpr,noisy_hartmann6,ts,60,50,7,-3.32237,-3.471885135,50,248.81,82.908,gpr_ts_noisy_hartmann6__noisy__seed7.pkl
gpr,noisy_hartmann6,ts,60,50,8,-3.32237,-3.506085043,50,246.976,85.225,gpr_ts_noisy_hartmann6__noisy__seed8.pkl
gpr,noisy_hartmann6,ts,60,50,9,-3.32237,-3.38053788,50,248.08,85.034,gpr_ts_noisy_hartmann6__noisy__seed9.pkl
gpr,noisy_hartmann6,ts,60,50,6,-3.32237,-3.55386668,50,252.581,82.639,gpr_ts_noisy_hartmann6__noisy__seed6.pkl
