model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,pickle_file
gpr,scaled_branin,ei,20,500,3,-1.047393,-1.047273727,14,3.357,20.351,gpr_ei_scaled_branin__seed3.pkl
gpr,scaled_branin,ei,20,500,0,-1.047393,-1.046588005,20,3.885,29.074,gpr_ei_scaled_branin__seed0.pkl
gpr,scaled_branin,ei,20,500,6,-1.047393,-1.047372113,20,3.43,28.085,gpr_ei_scaled_branin__seed6.pkl
gpr,scaled_branin,ei,20,500,8,-1.047393,-1.046920383,16,2.876,23.972,gpr_ei_scaled_branin__seed8.pkl
gpr,scaled_branin,ei,20,500,10,-1.047393,-1.047327953,15,2.639,22.129,gpr_ei_scaled_branin__seed10.pkl
gpr,scaled_branin,ei,20,500,15,-1.047393,-1.047068248,18,3.262,26.391,gpr_ei_scaled_branin__seed15.pkl
gpr,scaled_branin,ei,20,500,17,-1.047393,-1.046398433,18,3.459,25.717,gpr_ei_scaled_branin__seed17.pkl
gpr,scaled_branin,ei,20,500,19,-1.047393,-1.046570112,10,2.484,15.041,gpr_ei_scaled_branin__seed19.pkl
gpr,hartmann3,ei,30,500,1,-3.86278,-3.86252168,38,10.552,55.258,gpr_ei_hartmann3__seed1.pkl
gpr,hartmann3,ei,30,500,7,-3.86278,-3.862221537,6,3.608,9.925,gpr_ei_hartmann3__seed7.pkl
gpr,hartmann3,ei,30,500,6,-3.86278,-3.86261617,47,12.651,67.997,gpr_ei_hartmann3__seed6.pkl
gpr,hartmann3,ei,30,500,5,-3.86278,-3.862422102,47,14.605,69.425,gpr_ei_hartmann3__seed5.pkl
gpr,hartmann3,ei,30,500,10,-3.86278,-3.862543233,21,5.808,31.884,gpr_ei_hartmann3__seed10.pkl
gpr,hartmann3,ei,30,500,9,-3.86278,-3.862360002,24,7.324,36.496,gpr_ei_hartmann3__seed9.pkl
gpr,hartmann3,ei,30,500,8,-3.86278,-3.862660996,58,16.72,85.599,gpr_ei_hartmann3__seed8.pkl
gpr,hartmann3,ei,30,500,0,-3.86278,-3.862724654,127,45.808,194.25,gpr_ei_hartmann3__seed0.pkl
gpr,hartmann3,ei,30,500,12,-3.86278,-3.86270791,65,19.616,95.209,gpr_ei_hartmann3__seed12.pkl
gpr,hartmann3,ei,30,500,16,-3.86278,-3.862150056,30,15.545,44.855,gpr_ei_hartmann3__seed16.pkl
gpr,hartmann3,ei,30,500,15,-3.86278,-3.862610128,72,24.943,105.59,gpr_ei_hartmann3__seed15.pkl
gpr,hartmann3,ei,30,500,19,-3.86278,-3.86212216,19,5.845,28.463,gpr_ei_hartmann3__seed19.pkl
gpr,hartmann3,ei,30,500,18,-3.86278,-3.862475607,40,10.471,59.935,gpr_ei_hartmann3__seed18.pkl
gpr,hartmann3,ei,30,500,17,-3.86278,-3.86228493,68,23.148,101.441,gpr_ei_hartmann3__seed17.pkl
gpr,michal2,ei,20,500,4,-1.8013034,-1.799970968,4,2.306,5.184,gpr_ei_michal2__seed4.pkl
gpr,michal2,ei,20,500,0,-1.8013034,-1.800213594,8,2.66,9.055,gpr_ei_michal2__seed0.pkl
gpr,michal2,ei,20,500,1,-1.8013034,-1.801295727,11,2.99,12.458,gpr_ei_michal2__seed1.pkl
gpr,goldstein2,ei,20,500,0,-3.12913,-3.127715316,5,1.616,6.224,gpr_ei_goldstein2__seed0.pkl
gpr,scaled_branin,ei,20,500,1,-1.047393,-1.046997432,15,2.823,16.529,gpr_ei_scaled_branin__seed1.pkl
gpr,michal2,ei,20,500,9,-1.8013034,-1.800969152,14,3.377,15.813,gpr_ei_michal2__seed9.pkl
gpr,scaled_branin,ei,20,500,5,-1.047393,-1.047340178,17,3.1,18.821,gpr_ei_scaled_branin__seed5.pkl
gpr,scaled_branin,ei,20,500,2,-1.047393,-1.047235233,18,2.974,19.872,gpr_ei_scaled_branin__seed2.pkl
gpr,michal2,ei,20,500,2,-1.8013034,-1.800897786,19,3.903,20.696,gpr_ei_michal2__seed2.pkl
gpr,goldstein2,ei,20,500,1,-3.12913,-3.127625492,9,2.546,10.137,gpr_ei_goldstein2__seed1.pkl
gpr,scaled_branin,ei,20,500,9,-1.047393,-1.047242536,22,3.41,24.061,gpr_ei_scaled_branin__seed9.pkl
gpr,scaled_branin,ei,20,500,7,-1.047393,-1.047287787,23,3.577,25.032,gpr_ei_scaled_branin__seed7.pkl
gpr,goldstein2,ei,20,500,2,-3.12913,-3.127476764,9,2.515,9.947,gpr_ei_goldstein2__seed2.pkl
gpr,scaled_branin,ei,20,500,4,-1.047393,-1.047187343,24,3.655,26.013,gpr_ei_scaled_branin__seed4.pkl
gpr,goldstein2,ei,20,500,4,-3.12913,-3.128649238,6,1.793,7.356,gpr_ei_goldstein2__seed4.pkl
gpr,goldstein2,ei,20,500,5,-3.12913,-3.126937366,9,2.363,10.042,gpr_ei_goldstein2__seed5.pkl
gpr,goldstein2,ei,20,500,6,-3.12913,-3.127202268,8,2.026,9.288,gpr_ei_goldstein2__seed6.pkl
gpr,goldstein2,ei,20,500,8,-3.12913,-3.128475382,6,2.136,7.091,gpr_ei_goldstein2__seed8.pkl
gpr,goldstein2,ei,20,500,3,-3.12913,-3.128715988,13,2.572,14.381,gpr_ei_goldstein2__seed3.pkl
gpr,michal2,ei,20,500,7,-1.8013034,-1.79954647,29,5.579,30.965,gpr_ei_michal2__seed7.pkl
gpr,michal2,ei,20,500,5,-1.8013034,-1.801268757,30,5.138,32.698,gpr_ei_michal2__seed5.pkl
gpr,michal2,ei,20,500,3,-1.8013034,-1.800125735,33,5.071,35.317,gpr_ei_michal2__seed3.pkl
gpr,goldstein2,ei,20,500,7,-3.12913,-3.128876595,14,2.72,15.528,gpr_ei_goldstein2__seed7.pkl
gpr,goldstein2,ei,20,500,9,-3.12913,-3.127279146,22,3.547,24.4,gpr_ei_goldstein2__seed9.pkl
gpr,michal2,ei,20,500,6,-1.8013034,-1.801123289,53,7.674,57.306,gpr_ei_michal2__seed6.pkl
gpr,michal2,ei,20,500,8,-1.8013034,-1.80123471,58,9.793,62.261,gpr_ei_michal2__seed8.pkl
gpr,hartmann3,ei,30,500,3,-3.86278,-3.862729968,39,10.383,42.452,gpr_ei_hartmann3__seed3.pkl
gpr,hartmann3,ei,30,500,4,-3.86278,-3.86159542,38,12.057,41.288,gpr_ei_hartmann3__seed4.pkl
gpr,hartmann3,ei,30,500,2,-3.86278,-3.862105266,57,14.755,62.511,gpr_ei_hartmann3__seed2.pkl
gpr,shekel4,ei,40,500,0,-10.5363,-9.592896155,500,74.696,1267.27,gpr_ei_shekel4__seed0.pkl
gpr,shekel4,ei,40,500,1,-10.5363,-10.04861684,500,72.955,1270.107,gpr_ei_shekel4__seed1.pkl
gpr,shekel4,ei,40,500,7,-10.5363,-6.928173462,500,72.112,1272.445,gpr_ei_shekel4__seed7.pkl
gpr,shekel4,ei,40,500,4,-10.5363,-10.4258573,500,77.143,1271.345,gpr_ei_shekel4__seed4.pkl
gpr,shekel4,ei,40,500,2,-10.5363,-8.620484275,500,72.515,1280.054,gpr_ei_shekel4__seed2.pkl
gpr,shekel4,ei,40,500,3,-10.5363,-10.40882874,500,74.65,1276.506,gpr_ei_shekel4__seed3.pkl
gpr,shekel4,ei,40,500,6,-10.5363,-9.065366076,500,76.229,1274.118,gpr_ei_shekel4__seed6.pkl
gpr,shekel4,ei,40,500,5,-10.5363,-9.991880119,500,73.276,1280.576,gpr_ei_shekel4__seed5.pkl
gpr,shekel4,ei,40,500,8,-10.5363,-9.501079339,500,75.131,1279.98,gpr_ei_shekel4__seed8.pkl
gpr,shekel4,ei,40,500,9,-10.5363,-10.52557356,500,76.489,1279.627,gpr_ei_shekel4__seed9.pkl
gpr,dropw2,ei,20,500,1,-1,-0.785751334,500,141.57,1225.714,gpr_ei_dropw2__seed1.pkl
gpr,dropw2,ei,20,500,0,-1,-0.619499436,500,166.395,1214.753,gpr_ei_dropw2__seed0.pkl
gpr,eggho2,ei,20,500,1,-959.6407,-958.717685,31,6.249,41.233,gpr_ei_eggho2__seed1.pkl
gpr,dropw2,ei,20,500,2,-1,-0.936245328,500,149.408,1231.241,gpr_ei_dropw2__seed2.pkl
gpr,dropw2,ei,20,500,4,-1,-0.785751334,500,147.473,1226.413,gpr_ei_dropw2__seed4.pkl
gpr,dropw2,ei,20,500,3,-1,-0.785751332,500,140.847,1235.443,gpr_ei_dropw2__seed3.pkl
gpr,rosenbrock4,ei,40,500,1,-1.01917,-1.019171542,10,4.711,12.138,gpr_ei_rosenbrock4__seed1.pkl
gpr,dropw2,ei,20,500,5,-1,-0.936245328,500,146.348,1232.452,gpr_ei_dropw2__seed5.pkl
gpr,rosenbrock4,ei,40,500,2,-1.01917,-1.019168951,18,5.88,20.827,gpr_ei_rosenbrock4__seed2.pkl
gpr,rosenbrock4,ei,40,500,3,-1.01917,-1.019158489,19,6.381,21.339,gpr_ei_rosenbrock4__seed3.pkl
gpr,rosenbrock4,ei,40,500,7,-1.01917,-1.019170476,0,0.88,0.988,gpr_ei_rosenbrock4__seed7.pkl
gpr,rosenbrock4,ei,40,500,0,-1.01917,-1.019172314,44,13.313,49.482,gpr_ei_rosenbrock4__seed0.pkl
gpr,rosenbrock4,ei,40,500,9,-1.01917,-1.019168337,17,4.803,19.894,gpr_ei_rosenbrock4__seed9.pkl
gpr,rosenbrock4,ei,40,500,4,-1.01917,-1.019172839,49,12.991,55.292,gpr_ei_rosenbrock4__seed4.pkl
gpr,rosenbrock4,ei,40,500,5,-1.01917,-1.019166988,51,14.023,57.555,gpr_ei_rosenbrock4__seed5.pkl
gpr,eggho2,ei,20,500,9,-959.6407,-959.6399835,98,14.802,112.028,gpr_ei_eggho2__seed9.pkl
gpr,rosenbrock4,ei,40,500,6,-1.01917,-1.019174171,73,22.04,83.668,gpr_ei_rosenbrock4__seed6.pkl
gpr,rosenbrock4,ei,40,500,8,-1.01917,-1.019167849,79,21.808,92.196,gpr_ei_rosenbrock4__seed8.pkl
gpr,hartmann6,ei,60,500,1,-3.32237,-3.321785004,51,11.79,64.394,gpr_ei_hartmann6__seed1.pkl
gpr,hartmann6,ei,60,500,4,-3.32237,-3.320364133,21,9.612,26.988,gpr_ei_hartmann6__seed4.pkl
gpr,hartmann6,ei,60,500,2,-3.32237,-3.32083971,53,8.377,66.161,gpr_ei_hartmann6__seed2.pkl
gpr,hartmann6,ei,60,500,7,-3.32237,-3.321253029,59,25.456,81.41,gpr_ei_hartmann6__seed7.pkl
