,acquisition,e_num_hidden_layers,e_units,ensemble_size,init_buffer_iters,lr,maxi_rate,model,nlpd_difference_mean,nlpd_difference_var,nlpd_end_mean,nlpd_end_var,nlpd_minimizer_difference_mean,nlpd_minimizer_difference_var,nlpd_minimizer_end_mean,nlpd_minimizer_end_var,nlpd_minimizer_start_mean,nlpd_minimizer_start_var,nlpd_start_mean,nlpd_start_var,num_hidden_layers,num_inducing_points,num_passes,num_steps,objective,rate,reg_weight,units
0,ei,,,,,0.001,0.01,new_der_log,-19309767.785181075,67790905691382.95,12390.897634562123,46807941.794220015,-24698405.26778076,22684130557685.33,15749.63501315431,189735800.72210342,24714154.902793914,22709773197468.867,19322158.682815634,67849388276012.52,4,,,500,eggho2,,0.001,100
1,ei,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,eggho2,,0.001,100
2,ts,,,,,0.001,0.01,new_der_log,-24363650.51555485,1195898524738577.8,24666.78114207239,2253265670.230684,-19344659848.738564,3.082054849799792e+21,2121.30016654853,21683358.212504145,19344661970.03873,3.0820547680368664e+21,24388317.296696927,1199077343609743.2,4,,,500,eggho2,,0.001,100
3,ts,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,eggho2,,0.001,100
4,ei,,,,,0.001,0.01,new_der_log,-77623214.53131905,144642383786554.62,14998.784852815334,14080099.65069185,-137407260.01648185,433436648475420.75,14585.596158055328,4610146.682391137,137421845.61263987,433522845245708.6,77638213.31617187,144564878828612.22,4,,,500,goldstein2,,0.001,100
5,ei,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,goldstein2,,0.001,100
6,ts,,,,,0.001,0.01,new_der_log,-77539355.39886263,296104570421936.06,15042.194010170433,31332744.16593836,-134260658.7518177,320336237942139.4,14207.134498649582,4376044.555148372,134274865.8863164,320407334088168.4,77554397.59287278,296065520172555.06,4,,,500,goldstein2,,0.001,100
7,ts,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,goldstein2,,0.001,100
8,ei,,,,,0.001,0.01,new_der_log,-52947598.459260106,215610777703387.03,13070.808293740201,82386576.76566707,-112527510.04731236,11685750106128.006,12859.468844029196,210633.31487438703,112540369.5161564,11685642329484.598,52960669.267553866,215673274687268.03,4,,,500,hartmann3,,0.001,100
9,ei,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,hartmann3,,0.001,100
10,ts,,,,,0.001,0.01,new_der_log,-53915350.302877255,240707500242532.7,12369.700156761775,21241674.56648308,-116561448.45715986,19003329684531.67,12939.52319168214,112712.75023587467,116574387.98035154,19003893964616.766,53927720.003034,240699913787612.2,4,,,500,hartmann3,,0.001,100
11,ts,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,hartmann3,,0.001,100
12,ei,,,,,0.001,0.01,new_der_log,-35570335.00927012,281264160787740.03,9443.20404167036,52009808.11556304,-58629464.17270565,158139047559221.66,6544.629049604404,2960869.3261780664,58636008.80175526,158180410420870.97,35579778.213311784,281158512028636.28,4,,,500,michal2,,0.001,100
13,ei,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,michal2,,0.001,100
14,ts,,,,,0.001,0.01,new_der_log,-29486387.270819604,261464736585275.75,12635.758587549393,228549081.8347115,-63575264.46381341,60834982846040.79,6924.271627634024,280123.1343739955,63582188.735441044,60842189732195.6,29499023.029407155,261296747123437.6,4,,,500,michal2,,0.001,100
15,ts,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,michal2,,0.001,100
16,ei,,,,,0.001,0.01,new_der_log,-73045373.39384726,475381643002677.06,17837.566806986702,65932780.04924149,-130291329.23896217,1422614815058713.0,35714.668437426786,186920216.33068186,130327043.90739962,1423633829984483.8,73063210.96065423,475721828491108.56,4,,,500,scaled_branin,,0.001,100
17,ei,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,scaled_branin,,0.001,100
18,ts,,,,,0.001,0.01,new_der_log,-65098626.849104695,459115902037311.7,15165.5401497414,66419551.90631203,-144583736.68486506,749437321616402.6,42261.05681121191,83233564.73372869,144625997.74167624,749931736245775.9,65113792.38925445,459456601587626.06,4,,,500,scaled_branin,,0.001,100
19,ts,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,scaled_branin,,0.001,100
20,ei,,,,,0.001,0.01,new_der_log,52248704.25254539,318106415081970.7,36929776.430838525,1385710313375574.0,-138235388.645924,57353587167054.42,30833.185091539926,35796986.733282395,138266221.83101553,57299993260719.51,-15318927.82170686,2027033757611791.5,4,,,500,shekel4,,0.001,100
21,ei,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,shekel4,,0.001,100
22,ts,,,,,0.001,0.01,new_der_log,52156863.54489983,449638887020940.6,31666675.31363249,1440535788970472.5,-150285080.70013016,1293943722906.0737,19028.034113015332,29860917.605952457,150304108.73424315,1284569738449.2114,-20490188.23126736,1923771555509876.0,4,,,500,shekel4,,0.001,100
23,ts,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,shekel4,,0.001,100
24,ei,,,,,0.001,0.01,new_der_log,-9877665.029989865,457890290933826.8,47366.55650340683,5244145829.721926,-10346089078.128046,1.873941744843829e+21,54662.62485632896,54156577645.74582,10346143740.752901,1.8739618769283687e+21,9925031.586493272,460584267494792.9,4,,,500,dropw2,,0.001,100
25,ei,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,dropw2,,0.001,100
26,ts,,,,,0.001,0.01,new_der_log,-10158341.878254287,452446329223981.1,62794.62240575071,10703260427.954292,-15580962.999641526,167644290062.6712,1568.9818179886156,4637.25812116821,15582531.981459513,167664699509.46106,10221136.50066004,455879241161246.7,4,,,500,dropw2,,0.001,100
27,ts,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,dropw2,,0.001,100
28,ei,,,,,0.001,0.01,new_der_log,133444454.74140052,174202513716758.4,-13698.084284260112,2640795.9252144583,-2306485939.2468963,1.6413891962075513e+19,-20948.42620494565,369615166.3808164,2306464990.820691,1.6413811401248412e+19,-133458152.82568483,174243723070332.7,4,,,500,rosenbrock4,,0.001,100
29,ei,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,rosenbrock4,,0.001,100
30,ts,,,,,0.001,0.01,new_der_log,136310963.52276343,268287555950662.44,-14389.094666493602,4032096.6697825147,-650583364.2122905,2.31545636539417e+17,-41562.267986847655,72845872.08344977,650541801.9443036,2.3154512153404794e+17,-136325352.6174299,268348107574268.06,4,,,500,rosenbrock4,,0.001,100
31,ts,,,,,0.001,0.01,new_der_log,,,,,,,,,,,,,4,,,50,rosenbrock4,,0.001,100
