model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,pickle_file
svgp,noisy_shekel4,ts,40,50,19,-10.5363,-4.223790697620097,50,176.409,200.226,svgp_ts_noisy_shekel4__seed19.pkl
svgp,noisy_shekel4,ts,40,50,14,-10.5363,-4.715141411684904,50,180.723,197.265,svgp_ts_noisy_shekel4__seed14.pkl
svgp,noisy_shekel4,ts,40,50,11,-10.5363,-6.894223418429645,50,182.96,195.685,svgp_ts_noisy_shekel4__seed11.pkl
svgp,noisy_shekel4,ts,40,50,12,-10.5363,-4.519612923119809,50,175.957,203.17,svgp_ts_noisy_shekel4__seed12.pkl
svgp,noisy_shekel4,ts,40,50,13,-10.5363,-5.366521303335036,50,172.382,208.474,svgp_ts_noisy_shekel4__seed13.pkl
svgp,noisy_shekel4,ts,40,50,18,-10.5363,-4.045037809250426,50,168.897,212.857,svgp_ts_noisy_shekel4__seed18.pkl
svgp,noisy_shekel4,ts,40,50,10,-10.5363,-4.570345886362295,50,168.425,214.131,svgp_ts_noisy_shekel4__seed10.pkl
svgp,noisy_shekel4,ts,40,50,17,-10.5363,-4.9994466913616336,50,170.923,212.453,svgp_ts_noisy_shekel4__seed17.pkl
svgp,noisy_shekel4,ts,40,50,15,-10.5363,-5.530502240812738,50,173.735,210.967,svgp_ts_noisy_shekel4__seed15.pkl
svgp,noisy_shekel4,ts,40,50,16,-10.5363,-4.725667868866373,50,173.0,213.521,svgp_ts_noisy_shekel4__seed16.pkl
svgp,noisy_hartmann6,ts,60,50,11,-3.32237,-5.32391534304796,50,472.166,177.991,svgp_ts_noisy_hartmann6__seed11.pkl
svgp,noisy_hartmann6,ts,60,50,10,-3.32237,-5.2137116455158505,50,444.673,210.787,svgp_ts_noisy_hartmann6__seed10.pkl
svgp,noisy_hartmann6,ts,60,50,12,-3.32237,-5.14908342523016,50,443.712,211.548,svgp_ts_noisy_hartmann6__seed12.pkl
svgp,noisy_hartmann6,ts,60,50,16,-3.32237,-5.237231669961854,50,387.117,155.502,svgp_ts_noisy_hartmann6__seed16.pkl
svgp,noisy_hartmann6,ts,60,50,13,-3.32237,-5.5604368629819865,50,390.614,159.157,svgp_ts_noisy_hartmann6__seed13.pkl
svgp,noisy_hartmann6,ts,60,50,14,-3.32237,-5.4240858405498225,50,393.01,157.203,svgp_ts_noisy_hartmann6__seed14.pkl
svgp,noisy_hartmann6,ts,60,50,18,-3.32237,-5.163694098941939,50,376.608,169.952,svgp_ts_noisy_hartmann6__seed18.pkl
svgp,noisy_hartmann6,ts,60,50,17,-3.32237,-5.550261344828932,50,379.332,169.348,svgp_ts_noisy_hartmann6__seed17.pkl
svgp,noisy_hartmann6,ts,60,50,15,-3.32237,-5.376950295377931,50,380.246,171.204,svgp_ts_noisy_hartmann6__seed15.pkl
svgp,noisy_hartmann6,ts,60,50,19,-3.32237,-5.150849645554478,50,374.206,177.451,svgp_ts_noisy_hartmann6__seed19.pkl
