,,,optimize_runtime_step,optimize_runtime_step,steps_taken,steps_taken,final_regret,found_min
,,,mean,std,mean,std,mean,mean
objective,model,acquisition,,,,,,
ackley5,de,ei,25.11,1.47,500,0,0.14,0
ackley5,de,ts,64.47,8,500,0,0.28,0
ackley5,mc,ei,11.04,0.37,500,0,0.11,0
ackley5,mc,ts,26.34,1.52,500,0,0.28,0
ackley5,new_der_log,ei,15.08,0.63,500,0,0.19,0
ackley5,new_der_log,ts,45.53,2.47,500,0,0.28,0
dropw2,de,ei,18.23,0.58,500,0,0.01,0.85
dropw2,de,ts,63.02,2.08,500,0,0.04,0.3
dropw2,deup,ei,34.44,,500,,0.06,0
dropw2,gpr,ei,2.37,0.1,500,0,0.19,0
dropw2,mc,ei,9.12,0.19,500,0,0.05,0
dropw2,mc,ts,31.51,1.06,500,0,0.06,0
dropw2,new_der_log,ei,9.18,0.25,500,0,0.17,0.05
dropw2,new_der_log,ts,35.52,1.48,500,0,0.06,0.1
eggho2,de,ei,13.49,3.25,424,169.71,0.06,0.18
eggho2,de,ts,57.8,1.63,500,0,0.01,0.1
eggho2,gpr,ei,1.51,0.32,234.6,163.95,0,1
eggho2,mc,ei,8.67,2.29,442.1,146.15,0.07,0.2
eggho2,mc,ts,36.88,7.05,471,91.71,0.02,0.2
eggho2,new_der_log,ei,7.5,2.38,402.7,199.67,0.07,0.2
eggho2,new_der_log,ts,50.45,9.23,500,0,0.01,0.09
goldstein2,de,ei,4.86,0.45,48.3,29.5,0,1
goldstein2,de,ts,7.36,2.5,26.1,22.03,0,1
goldstein2,deup,ei,11.02,4.14,89.7,69.83,0,1
goldstein2,deup,ts,24.01,10.41,66.2,44.42,0,1
goldstein2,gpr,ei,1.03,0.02,10.1,5.09,0,1
goldstein2,mc,ei,4.16,2.12,189.93,207.11,0.07,0.71
goldstein2,mc,ts,6.68,3.45,80.36,54.19,0,1
goldstein2,new_der_log,ei,6.96,3.97,256.38,235.78,0.1,0.62
goldstein2,new_der_log,ts,6.87,2.54,39.6,25.79,0,1
hartmann3,de,ei,7.57,1.37,170.33,50.62,0,1
hartmann3,de,ts,13.81,5.3,78.67,42.54,0,1
hartmann3,deup,ei,31.72,8.23,366.53,123.47,0.01,0.65
hartmann3,deup,ts,99.59,53.62,315,183.81,0,1
hartmann3,gpr,ei,1.38,0.15,46.82,27.66,0,1
hartmann3,mc,ei,6.98,2.96,346.2,199.22,0.03,0.87
hartmann3,mc,ts,14.81,9.43,232.37,161.4,0,1
hartmann3,new_der_log,ei,7.11,2.55,239.21,132.63,0.01,0.86
hartmann3,new_der_log,ts,14.32,6.15,127,60.57,0,1
hartmann6,de,ei,25.72,1.15,500,0,0.01,0
hartmann6,de,ts,74.23,5.51,500,0,0.03,0
hartmann6,gpr,ei,1.58,0.41,150.89,149.94,0,1
hartmann6,mc,ei,11.47,0.25,500,0,0.03,0
hartmann6,mc,ts,35.01,0.63,500,0,0.03,0
hartmann6,new_der_log,ei,10.21,1.08,434.93,130.58,0.04,0.21
hartmann6,new_der_log,ts,62.68,1.36,500,0,0.04,0
michal2,de,ei,5.68,1.73,116,58.07,0,1
michal2,de,ts,9.36,4.13,54.1,33.79,0,1
michal2,deup,ei,24.55,13.21,299,182.54,0.14,0.6
michal2,deup,ts,38.19,17.72,123.4,74.65,0,1
michal2,gpr,ei,1.04,0.02,25.9,18.42,0,1
michal2,mc,ei,4.03,0.4,129.9,31.86,0,1
michal2,mc,ts,6.35,2.75,68,41.56,0,1
michal2,new_der_log,ei,7,3.6,265.73,206.51,0.14,0.64
michal2,new_der_log,ts,10.29,11.54,83.4,148.01,0.03,0.9
rosenbrock4,de,ei,8.78,2.06,135.65,68.75,0,1
rosenbrock4,de,ts,45.83,19.4,318,152.97,0,1
rosenbrock4,gpr,ei,1.1,0.04,36,27.13,0,1
rosenbrock4,mc,ei,10.06,0.15,500,0,0,0.6
rosenbrock4,mc,ts,29.7,8.3,433.9,139.38,0,1
rosenbrock4,new_der_log,ei,8.56,1.9,396.15,122.05,0,0.95
rosenbrock4,new_der_log,ts,30.9,6.44,428.1,102.39,0,1
scaled_branin,de,ei,3.71,1.12,58.18,43.01,0,1
scaled_branin,de,ts,4.94,1.27,11.25,7.06,0,1
scaled_branin,deup,ei,14.73,6.92,141.17,125.11,0,1
scaled_branin,deup,ts,21.77,9.6,41.81,42.52,0,1
scaled_branin,gpr,ei,1.23,0.17,17.86,3.8,0,1
scaled_branin,mc,ei,2.94,1.27,87.25,69.79,0,1
scaled_branin,mc,ts,2.79,1.05,28.38,20.95,0,1
scaled_branin,new_der_log,ei,5.15,3.76,128.85,176.01,0,1
scaled_branin,new_der_log,ts,10.24,2.38,36.53,22.29,0,1
shekel4,de,ei,22.7,1.75,500,0,0.08,0
shekel4,de,ts,72.27,2.53,500,0,0.26,0
shekel4,deup,ei,44.7,0.7,500,0,0.68,0
shekel4,gpr,ei,2.55,0.01,500,0,0.11,0
shekel4,mc,ei,8.79,0.9,500,0,0.66,0
shekel4,mc,ts,34.87,3.82,500,0,0.27,0
shekel4,new_der_log,ei,11.46,1.19,479.69,81.25,0.7,0
shekel4,new_der_log,ts,58.12,10.1,500,0,0.34,0
